Name,Conv_Delta,Conv_WT-1,Conv_WT-2,Conv_WT-3,Vac_Mod-1,Vac_Mod-2,Vac_Pfiz-1,Vac_Pfiz-2,Vac_Pfiz-3,Boost_Mod-1,Boost_Mod-2,Boost_Mod-3,Boost_Pfiz-1,Boost_Pfiz-2,Bi-valent Boost,BTI_Delta-1,BTI_Delta-2,BTI_Delta-3,BTI_BA.1-1,BTI_BA.1-2,BTI_BA.1-3,BTI_BA.2.12.1,BTI_BA.4/5
BA.2.75,432,587,115,<20,57,68,<20,<20,<20,1224,1386,628,909,746,3097,772,2673,1980,616,4354,7821,2274,2004
BA.2.75-2a,293,278,26,<20,<20,26,<20,<20,<20,326,382,134,330,144,1053,263,729,411,277,1352,1811,633,1018
BA.2.75-2b,432,1044,258,<20,61,146,22,<20,<20,2042,1983,884,1291,786,4029,1059,3583,5033,1054,4402,7441,2404,2058
BA.2.75-3a,127,203,<20,<20,<20,<20,<20,<20,<20,496,807,164,489,257,1379,163,1246,510,198,1236,1519,721,400
BA.2.75-3b,302,267,33,<20,22,29,<20,<20,<20,506,491,206,292,278,1536,231,682,665,244,1152,1950,594,465
BA.2.75-4a,437,250,53,<20,<20,35,<20,<20,<20,459,672,359,327,379,1820,366,1769,1055,612,2383,3135,1059,991
BA.2.75-4b,146,195,38,<20,<20,24,<20,<20,<20,316,487,332,327,213,1006,200,359,674,177,868,2890,972,586
BA.2.75-4c,153,114,<20,<20,<20,31,<20,<20,<20,146,241,109,112,91,700,109,264,335,78,349,801,301,217
BA.2.75-4d,120,118,<20,<20,<20,<20,<20,<20,<20,299,335,113,192,141,719,208,552,491,186,626,1129,318,284
BA.2.75-4e,114,156,31,<20,<20,22,<20,<20,<20,284,303,245,330,160,760,149,449,377,123,603,1160,472,469
BA.2.75-5d,323,227,56,<20,<20,20,<20,<20,<20,544,583,298,260,279,1778,406,1179,717,312,3185,3634,807,702
BA.2.75-5a,438,239,55,<20,<20,28,<20,<20,<20,698,902,549,497,385,2105,344,880,804,340,1339,3864,921,1065
BA.2.75-5b,210,310,57,<20,30,47,<20,<20,<20,703,892,314,631,323,1901,693,2016,1013,302,1875,2380,1159,756
BA.2.75-5c,422,491,167,<20,69,115,24,<20,<20,973,1352,452,549,555,2667,754,2462,1640,743,2810,5205,1692,1569
BA.2.75-6a,135,188,43,<20,<20,38,<20,<20,<20,299,402,176,204,136,1102,222,440,529,108,845,967,355,318
BA.2.75-6b,141,256,50,<20,30,43,<20,<20,<20,506,632,220,336,249,1343,344,1075,806,308,1975,1580,502,386
BA.2.75-6c,258,584,163,<20,33,73,<20,75,<20,755,958,415,936,374,1783,728,2363,1269,766,2519,4019,1048,1213
XBB,<20,77,<20,<20,<20,<20,<20,<20,<20,173,227,86,121,79,653,114,276,250,148,514,592,170,464
XBB-1a,<20,32,<20,<20,<20,<20,<20,<20,<20,51,74,<20,<20,<20,366,25,108,117,<20,181,270,81,82
XBB-5a,<20,30,<20,<20,<20,<20,<20,<20,<20,53,50,<20,30,<20,244,<20,78,91,<20,135,254,73,202
XBB-5b,<20,44,<20,<20,<20,<20,<20,<20,<20,56,98,27,35,<20,272,27,81,105,26,146,311,83,304
XBB-2a,<20,54,<20,<20,<20,<20,<20,<20,<20,94,142,33,50,48,579,55,193,184,52,326,457,97,320
XBB-3a,<20,96,<20,<20,<20,<20,<20,<20,<20,132,314,46,68,73,1208,134,338,385,144,859,1000,118,368
XBB-4a,<20,54,<20,<20,<20,<20,<20,<20,<20,86,105,34,41,39,801,132,203,313,106,809,801,100,195
XBB-5c,<20,37,<20,<20,<20,<20,<20,<20,<20,81,88,23,<20,<20,396,28,295,218,237,255,397,70,233
XBB-6a,<20,91,<20,<20,<20,<20,<20,<20,<20,50,70,21,23,<20,410,100,215,203,225,158,358,77,126
XBB-8a,<20,115,<20,<20,<20,<20,<20,<20,<20,53,86,21,<20,<20,264,28,74,88,<20,136,376,80,120
XBB-8b,<20,27,<20,<20,<20,<20,<20,<20,<20,44,45,<20,<20,<20,193,<20,87,99,76,208,315,53,76
XBB-9a,<20,96,<20,<20,<20,<20,<20,<20,<20,82,61,23,<20,<20,199,<20,65,128,<20,140,311,49,57
XBB-9b,<20,86,<20,<20,<20,<20,<20,<20,<20,49,72,<20,<20,<20,255,<20,39,90,<20,108,243,75,86
XBB-10a,<20,69,<20,<20,<20,<20,<20,<20,<20,53,66,<20,<20,<20,245,26,46,114,<20,187,265,60,46
XBB-10b,<20,74,<20,<20,<20,<20,<20,<20,<20,67,45,<20,<20,<20,215,<20,23,82,<20,89,356,69,57
