order_name,new_name,norm_rt_1,norm_rt_2,norm_rt_3,norm_rt_avg,norm_WuG_1,norm_WuG_2,norm_WuG_3,norm_WuG_avg,file_name,,,,,
BQ.1.1.13,BQ.1.1.13,54938.06967,30221.14501,47864.4027,44341.20579,0.578445137,0.318199647,0.503966214,0.466870332,example_format,,,,,
XBB.1,XBB.1,85105.22358,127223.2219,58593.80064,90307.41537,0.896076309,1.3395384,0.616936474,0.950850395,example_format,,,,,
BA.1,BA.1,2007.368543,2653.927946,1890.661069,2183.985853,0.021135664,0.027943314,0.019906846,0.022995275,example_format,,,,,
BA.2,BA.2,5291.794634,3100.352617,2826.66105,3739.602767,0.055717518,0.032643737,0.029762027,0.039374427,example_format,,,,,
delta,Delta,11646.70564,6437.522,11196.52927,9760.252303,0.12262863,0.067780927,0.117888705,0.102766088,example_format,,,,,
CH.1.1,CH.1.1,122165.8409,128425.3457,155080.9897,135224.0587,1.286289033,1.35219561,1.632853954,1.423779532,example_format,,,,,
XBB.1.5,XBB.1.5,134056.6359,169123.0296,211950.597,171710.0875,1.411487691,1.780703155,2.231636328,1.807942391,example_format,,,,,
WuD,WuD,26587.60851,35123.3696,40193.33443,33968.10418,0.352395593,0.465529672,0.53272764,0.450217635,hv.1 jn.1 JJ 2023.12.04 11_22_09,,,,,
WuG,WuG,62411.5042,83525.12149,80407.93453,75448.18674,0.827210128,1.107052735,1.065737137,1,hv.1 jn.1 JJ 2023.12.04 11_22_09,,,,,
HV.1,HV.1,109108.9285,103930.1562,77539.70017,96859.59496,1.446143814,1.377503698,1.027721189,1.283789567,hv.1 jn.1 JJ 2023.12.04 11_22_09,,,,,
JN.1,JN.1,50338.86026,40417.01339,15519.19581,35425.02315,0.667197748,0.535692309,0.205693423,0.469527827,hv.1 jn.1 JJ 2023.12.04 11_22_09,,,,,
WuD,WuD,49290,38610,53830,47243.33333,0.407912463,0.319527291,0.445484437,0.39097473,ba.2.86 and eg.5 2023.09.25 infectivity results - revised,,,,,
WuG,WuG,128552.7367,135949.1418,98002.36777,120834.7488,1.063872255,1.125083166,0.811044577,1,ba.2.86 and eg.5 2023.09.25 infectivity results - revised,,,,,
BA.2.86,BA.2.86,115937.5694,127316.2417,125581.688,122945.1664,0.959472094,1.053639313,1.039284554,1.01746532,ba.2.86 and eg.5 2023.09.25 infectivity results - revised,,,,,
EG.5,EG.5,142322.5528,140411.708,184927.315,155887.1919,1.177828019,1.162014316,1.530415024,1.290085786,ba.2.86 and eg.5 2023.09.25 infectivity results - revised,,,,,
WuD,WuD,17129.69098,48054.44016,16206.71226,27130.28113,0.164234813,0.460732887,0.155385544,0.260117748,ba.2.86 variants 2023.10.02 10_35_48,,,,,
WuG,WuG,81300,115200,116400,104300,0.779482263,1.104506232,1.116011505,1,ba.2.86 variants 2023.10.02 10_35_48,,,,,
BA.2.86,BA.2.86,70063.85082,36032.83757,50821.01794,52305.90211,0.671753124,0.345473035,0.487258082,0.501494747,ba.2.86 variants 2023.10.02 10_35_48,,,,,
BA.2.86_Denmark_18135401,BA.2.86_18135401,102427.6414,125004.4997,113003.1171,113478.4194,0.982048335,1.198509105,1.083443117,1.088000186,ba.2.86 variants 2023.10.02 10_35_48,,,,,
BA.2.86_Sweden_18151536,BA.2.86_18151536,18515.38968,20897.88468,40517.54189,26643.60542,0.177520515,0.200363228,0.388471159,0.255451634,ba.2.86 variants 2023.10.02 10_35_48,,,,,
BA.2.86_Denmark_18114953,BA.2.86_18114953,114751.3754,123593.0307,186910.6911,141751.6991,1.100204942,1.184976325,1.792048812,1.359076693,ba.2.86 variants 2023.10.02 10_35_48,,,,,
BA.2.86_SA_18168185,BA.2.86_18168185,10332.91714,8773.147211,25340.67483,14815.57973,0.099069196,0.084114547,0.24295949,0.142047744,ba.2.86 variants 2023.10.02 10_35_48,,,,,
BA.2.86_Thailand_18216958,BA.2.86_18216958,36891.41553,51808.02236,61759.26626,50152.90138,0.353704847,0.496721211,0.592131028,0.480852362,ba.2.86 variants 2023.10.02 10_35_48,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
WuD,,,,,,,,,,,,,,,
WuG,,,,,,,,,,,,,,,
HV.1,,,,,,,,,,,,,,,
JN.1,,,,,,,,,,,,,,,
